IsDeleted,AccountId,NextStep,PushCount,RecordTypeId,IsPrivate,Name,Description,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,LeadSource,IsWon,IsClosed,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastStageChangeDate,FiscalQuarter,FiscalYear,Fiscal,CurrencyIsoCode,ContactId,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask,LastAmountChangedHistoryId,LastCloseDateChangedHistoryId,Product2Id__c,id
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,90,,45,2024-03-21,New Customer,Partner,,1,Closed,Closed,9,0,,48,2024-07-14,155,2024-03-13,212,2024-04-04,2024-07-03,2024-01-13,1006,1978,屋根裏,JPY,4,2024-02-22,2024-02-02,0,0,,,5,11
0,2,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,30,,40,2024-02-13,Existing Customer - Downgrade,Web,,1,Pipeline,Pipeline,25,1,,258,2024-07-05,144,2024-07-28,3,2024-06-30,2024-02-14,2024-02-09,1673,1983,デッド,JPY,5,2024-04-11,2024-05-28,0,0,,,3,12
0,2,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Prospecting,,80,,20,2024-02-11,Existing Customer - Upgrade,Web,,1,BestCase,Best Case,8,1,,21,2024-04-16,113,2024-02-22,239,2024-05-17,2024-04-11,2024-08-05,6266,1972,分割,JPY,6,2024-02-23,2024-06-27,0,1,,,5,13
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Value Proposition,,80,,50,2024-05-20,Existing Customer - Expansion,Referral,,1,BestCase,Best Case,27,1,,117,2024-01-17,62,2024-02-20,59,2024-05-29,2024-01-23,2024-05-05,3100,1996,敵,JPY,6,2024-06-30,2024-03-04,1,1,,,1,14
0,2,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Value Proposition,,70,,40,2024-02-08,Existing Customer - Upgrade,Referral,,1,Omitted,Omitted,29,1,,193,2024-07-05,55,2024-01-21,185,2024-05-07,2024-05-31,2024-01-07,5132,1995,インチ,JPY,7,2024-07-27,2024-02-25,0,0,,,6,15
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Id. Decision Makers,,50,,40,2024-03-29,Existing Customer - Upgrade,Partner,,1,Pipeline,Pipeline,23,0,,72,2024-04-11,216,2024-06-01,225,2024-07-14,2024-08-02,2024-04-15,687,2002,カレッジ,JPY,8,2024-01-06,2024-05-03,0,1,,,7,16
0,2,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,10,,30,2024-03-03,Existing Customer - Downgrade,Web,,1,Omitted,Omitted,28,0,,104,2024-07-06,86,2024-05-02,6,2024-05-25,2024-07-07,2024-05-11,1248,2002,犯罪者,JPY,9,2024-07-02,2024-06-30,0,0,,,11,17
0,2,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Prospecting,,0,,5,2024-05-12,Existing Customer - Replacement,Phone,,1,Commit,Commit,29,1,,56,2024-03-13,205,2024-05-23,237,2024-02-20,2024-02-20,2024-06-17,1901,1989,管理する,JPY,9,2024-05-12,2024-03-22,0,1,,,7,18
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,90,,30,2024-02-21,Existing Customer - Upgrade,Partner,,1,Closed,Closed,23,0,,46,2024-04-23,252,2024-05-21,44,2024-04-12,2024-04-26,2024-01-16,607,2021,意図,JPY,9,2024-01-10,2024-06-15,0,0,,,5,19
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Qualification,,0,,25,2024-02-10,New Customer,Referral,,1,BestCase,Best Case,14,0,,148,2024-06-06,4,2024-05-13,259,2024-04-09,2024-07-14,2024-04-16,8309,2000,インチ,JPY,9,2024-04-11,2024-06-02,0,0,,,11,20
0,2,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,70,,35,2024-05-27,Existing Customer - Upgrade,Web,,1,Closed,Closed,9,1,,110,2024-05-01,167,2024-04-19,180,2024-07-05,2024-05-01,2024-03-10,6321,1975,溝,JPY,9,2024-05-29,2024-05-03,0,0,,,5,21
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Qualification,,100,,35,2024-01-28,New Customer,Referral,,1,Commit,Commit,16,0,,20,2024-07-24,117,2024-07-21,222,2024-02-05,2024-06-15,2024-05-21,4560,2002,午前,JPY,9,2024-04-03,2024-02-28,0,0,,,4,22
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Id. Decision Makers,,50,,40,2024-01-18,Existing Customer - Upgrade,Email,,1,BestCase,Best Case,30,1,,66,2024-05-26,131,2024-04-12,102,2024-05-30,2024-05-15,2024-06-01,6325,1987,参加する,JPY,10,2024-03-12,2024-07-24,1,1,,,1,23
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,20,,15,2024-07-17,Existing Customer - Downgrade,Partner,,1,Omitted,Omitted,13,0,,208,2024-02-01,217,2024-04-28,83,2024-07-03,2024-05-31,2024-07-11,6597,1997,副,JPY,10,2024-01-03,2024-03-16,0,0,,,4,24
0,2,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Qualification,,40,,35,2024-03-29,New Customer,Web,,1,Closed,Closed,15,0,,105,2024-02-18,259,2024-03-23,236,2024-05-09,2024-05-15,2024-01-07,4943,2015,コミュニティ,JPY,10,2024-01-28,2024-06-25,1,1,,,10,25
0,3,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Prospecting,,10,,50,2024-01-31,Existing Customer - Expansion,Web,,1,BestCase,Best Case,29,1,,93,2024-01-14,11,2024-03-23,121,2024-07-04,2024-06-04,2024-04-11,4805,2003,自体,JPY,11,2024-07-17,2024-03-09,0,1,,,5,26
0,3,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,0,,5,2024-02-02,Existing Customer - Expansion,Web,,1,Pipeline,Pipeline,25,0,,134,2024-02-09,87,2024-03-09,226,2024-01-25,2024-07-25,2024-05-24,5506,1987,ヒット,JPY,11,2024-02-06,2024-04-13,0,1,,,10,27
0,3,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Id. Decision Makers,,0,,35,2024-02-02,New Customer,Referral,,1,Omitted,Omitted,23,1,,51,2024-01-12,253,2024-05-08,62,2024-07-10,2024-01-01,2024-01-03,893,1979,本質的な,JPY,12,2024-07-15,2024-04-02,1,0,,,3,28
0,3,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,20,,50,2024-05-16,Existing Customer - Expansion,Phone,,1,Commit,Commit,18,1,,87,2024-03-18,136,2024-03-18,57,2024-07-24,2024-05-30,2024-03-30,5390,2021,衝突,JPY,12,2024-04-15,2024-01-21,0,0,,,1,29
0,3,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,60,,35,2024-03-19,New Customer,Phone,,1,Omitted,Omitted,25,1,,12,2024-03-03,206,2024-02-04,135,2024-02-04,2024-03-02,2024-06-29,3047,1981,シェービング,JPY,12,2024-05-16,2024-05-30,1,0,,,9,30
0,3,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,100,,40,2024-01-04,Existing Customer - Upgrade,Phone,,1,Commit,Commit,11,0,,59,2024-01-09,50,2024-01-01,29,2024-06-24,2024-01-18,2024-04-08,8281,1993,陶器,JPY,12,2024-06-28,2024-02-14,1,0,,,11,31
0,3,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,30,,35,2024-02-16,New Customer,Web,,1,Pipeline,Pipeline,11,0,,238,2024-06-04,249,2024-07-28,37,2024-05-19,2024-07-12,2024-03-05,2349,1970,教会,JPY,12,2024-04-05,2024-04-27,0,1,,,8,32
0,3,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Negotiation/Review,,80,,40,2024-07-22,New Customer,Partner,,1,BestCase,Best Case,3,0,,204,2024-02-05,61,2024-08-04,67,2024-07-13,2024-03-28,2024-01-10,7339,1991,シェービング,JPY,13,2024-06-28,2024-06-27,1,1,,,7,33
0,3,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,0,,35,2024-07-03,Existing Customer - Downgrade,Referral,,1,Omitted,Omitted,26,0,,45,2024-06-03,242,2024-03-25,195,2024-04-08,2024-07-14,2024-07-16,6900,2004,バーゲン,JPY,13,2024-06-23,2024-02-12,0,0,,,11,34
0,3,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Negotiation/Review,,60,,45,2024-05-01,New Customer,Partner,,1,Pipeline,Pipeline,14,0,,82,2024-03-25,63,2024-05-01,156,2024-05-24,2024-02-14,2024-02-13,7477,1989,器官,JPY,14,2024-03-22,2024-05-24,0,0,,,9,35
0,3,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,90,,5,2024-04-10,Existing Customer - Downgrade,Phone,,1,Omitted,Omitted,24,1,,121,2024-05-05,123,2024-04-10,230,2024-01-29,2024-04-05,2024-01-23,7152,1970,持っていました,JPY,14,2024-05-17,2024-06-07,0,1,,,4,36
0,3,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,100,,30,2024-01-06,Existing Customer - Upgrade,Email,,1,Commit,Commit,14,0,,143,2024-03-05,256,2024-03-16,72,2024-08-03,2024-01-06,2024-05-28,2224,2010,保持する,JPY,14,2024-07-15,2024-07-25,1,1,,,5,37
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Value Proposition,,20,,50,2024-02-03,Existing Customer - Upgrade,Web,,1,Pipeline,Pipeline,9,0,,72,2024-01-11,216,2024-03-21,220,2024-06-13,2024-05-06,2024-01-03,1763,2000,ダニ,JPY,15,2024-07-09,2024-07-12,0,0,,,10,38
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,0,,15,2024-01-17,Existing Customer - Replacement,Phone,,1,Omitted,Omitted,7,0,,16,2024-06-12,81,2024-02-13,121,2024-04-16,2024-05-31,2024-01-21,3653,1976,カレッジ,JPY,16,2024-01-01,2024-06-13,0,1,,,6,39
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,100,,20,2024-02-28,Existing Customer - Expansion,Web,,1,Pipeline,Pipeline,14,0,,125,2024-06-20,155,2024-05-06,256,2024-07-12,2024-05-09,2024-01-14,3727,1992,ダイヤモンド,JPY,17,2024-06-13,2024-02-27,0,1,,,12,40
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Perception Analysis,,90,,30,2024-06-11,Existing Customer - Expansion,Partner,,1,Omitted,Omitted,27,1,,139,2024-05-08,204,2024-04-21,253,2024-03-26,2024-05-01,2024-02-22,2471,2002,スマッシュ,JPY,17,2024-04-26,2024-01-30,1,1,,,7,41
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,20,,5,2024-06-14,Existing Customer - Expansion,Phone,,1,Commit,Commit,10,0,,62,2024-02-13,241,2024-06-27,28,2024-07-20,2024-06-28,2024-07-24,9050,2005,は,JPY,17,2024-05-08,2024-01-05,0,1,,,5,42
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,60,,25,2024-04-04,Existing Customer - Upgrade,Web,,1,BestCase,Best Case,19,0,,45,2024-06-04,29,2024-03-07,194,2024-06-25,2024-03-30,2024-06-21,9171,2004,トーン,JPY,17,2024-01-07,2024-03-15,0,0,,,10,43
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Prospecting,,50,,20,2024-05-31,New Customer,Partner,,1,Closed,Closed,30,1,,132,2024-06-29,121,2024-05-16,73,2024-05-03,2024-05-09,2024-01-19,3973,1984,スペル,JPY,18,2024-06-10,2024-06-22,1,1,,,9,44
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,40,,15,2024-06-27,Existing Customer - Expansion,Email,,1,Closed,Closed,10,0,,89,2024-02-08,61,2024-04-21,237,2024-02-07,2024-05-15,2024-01-29,3943,1976,同行,JPY,18,2024-03-16,2024-06-03,1,1,,,12,45
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,10,,45,2024-03-05,New Customer,Partner,,1,Omitted,Omitted,3,0,,188,2024-06-30,16,2024-05-17,241,2024-02-01,2024-03-06,2024-04-23,3360,1996,キャビネット,JPY,18,2024-02-05,2024-02-08,0,0,,,9,46
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,0,,40,2024-04-19,Existing Customer - Replacement,Partner,,1,Commit,Commit,24,1,,127,2024-03-24,45,2024-06-17,197,2024-03-10,2024-02-25,2024-02-16,6319,1992,隠す,JPY,18,2024-05-25,2024-07-11,0,1,,,11,47
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,0,,50,2024-06-11,Existing Customer - Replacement,Partner,,1,BestCase,Best Case,6,1,,7,2024-06-20,219,2024-06-17,188,2024-01-30,2024-04-28,2024-04-23,2664,1993,狭い,JPY,18,2024-03-06,2024-05-29,1,0,,,8,48
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,0,,20,2024-04-08,New Customer,Web,,1,Pipeline,Pipeline,5,1,,32,2024-02-03,173,2024-06-01,101,2024-03-28,2024-02-14,2024-04-12,6235,1988,仕上げ,JPY,19,2024-07-03,2024-03-22,0,1,,,11,49
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,20,,45,2024-01-04,Existing Customer - Upgrade,Phone,,1,Omitted,Omitted,28,1,,213,2024-05-31,1,2024-02-11,63,2024-01-12,2024-01-17,2024-02-02,1234,2004,教会,JPY,19,2024-08-02,2024-03-27,1,0,,,10,50
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,80,,50,2024-06-11,Existing Customer - Replacement,Phone,,1,Commit,Commit,30,0,,157,2024-05-15,32,2024-01-19,223,2024-06-03,2024-06-13,2024-02-16,9189,1986,状況,JPY,20,2024-07-31,2024-05-10,0,0,,,4,51
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Qualification,,50,,5,2024-06-05,Existing Customer - Replacement,Email,,1,Pipeline,Pipeline,8,0,,45,2024-02-21,254,2024-07-04,89,2024-07-02,2024-07-05,2024-06-12,8721,1972,ログ,JPY,20,2024-05-18,2024-05-02,1,1,,,10,52
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,60,,45,2024-04-03,Existing Customer - Replacement,Phone,,1,BestCase,Best Case,10,0,,23,2024-02-17,107,2024-07-08,190,2024-02-26,2024-05-09,2024-03-26,5774,2003,トリビュート,JPY,21,2024-03-16,2024-01-15,0,0,,,5,53
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Negotiation/Review,,70,,30,2024-05-09,Existing Customer - Expansion,Referral,,1,Closed,Closed,24,0,,100,2024-07-23,160,2024-05-05,25,2024-08-04,2024-04-23,2024-06-01,6881,2017,動物,JPY,21,2024-06-14,2024-05-19,1,1,,,2,54
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Value Proposition,,50,,25,2024-01-20,New Customer,Referral,,1,BestCase,Best Case,30,1,,138,2024-05-29,8,2024-05-15,231,2024-04-07,2024-07-05,2024-05-22,3324,2019,高い,JPY,21,2024-04-06,2024-07-30,0,1,,,5,55
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Value Proposition,,70,,35,2024-05-27,Existing Customer - Expansion,Phone,,1,Commit,Commit,26,1,,106,2024-02-07,150,2024-05-20,55,2024-04-01,2024-04-12,2024-06-11,9836,2005,ブレーキ,JPY,23,2024-05-14,2024-02-09,0,1,,,5,56
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Value Proposition,,0,,50,2024-07-21,New Customer,Email,,1,Omitted,Omitted,9,0,,103,2024-06-29,118,2024-01-19,129,2024-01-07,2024-01-20,2024-02-16,2253,1999,ノート,JPY,23,2024-02-05,2024-07-28,0,0,,,3,57
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Negotiation/Review,,100,,15,2024-05-15,Existing Customer - Downgrade,Email,,1,Pipeline,Pipeline,14,0,,99,2024-03-10,130,2024-02-16,68,2024-03-04,2024-08-02,2024-03-01,3734,1983,クール,JPY,24,2024-02-06,2024-03-13,0,0,,,2,58
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,60,,20,2024-04-24,Existing Customer - Replacement,Email,,1,BestCase,Best Case,3,0,,151,2024-05-22,181,2024-03-12,98,2024-01-11,2024-06-10,2024-07-11,1029,1984,インチ,JPY,24,2024-02-10,2024-06-18,0,1,,,10,59
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Negotiation/Review,,40,,35,2024-02-27,Existing Customer - Expansion,Email,,1,Closed,Closed,23,0,,37,2024-03-24,181,2024-03-04,195,2024-02-22,2024-07-28,2024-05-02,6342,2011,偏差,JPY,24,2024-05-03,2024-07-09,0,0,,,7,60
0,4,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Perception Analysis,,30,,45,2024-05-18,Existing Customer - Upgrade,Email,,1,Pipeline,Pipeline,25,1,,257,2024-01-15,185,2024-01-15,124,2024-05-28,2024-06-17,2024-07-02,4404,1983,日曜日,JPY,24,2024-03-06,2024-01-14,1,1,,,12,61
0,4,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Negotiation/Review,,40,,10,2024-03-22,Existing Customer - Expansion,Partner,,1,Closed,Closed,28,1,,109,2024-04-28,96,2024-06-23,69,2024-01-05,2024-01-05,2024-05-05,4691,2010,中央,JPY,24,2024-06-11,2024-03-03,0,1,,,3,62
0,5,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,40,,10,2024-07-06,New Customer,Phone,,1,Commit,Commit,24,0,,89,2024-06-19,38,2024-01-28,100,2024-03-24,2024-07-08,2024-06-29,5324,1993,部隊,JPY,25,2024-08-02,2024-01-17,0,1,,,11,63
0,5,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Qualification,,100,,45,2024-04-13,New Customer,Partner,,1,Commit,Commit,27,0,,95,2024-02-01,130,2024-04-09,27,2024-01-19,2024-04-02,2024-02-01,528,2009,建築,JPY,25,2024-07-16,2024-05-03,1,1,,,3,64
0,5,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Qualification,,0,,40,2024-04-15,Existing Customer - Downgrade,Email,,1,BestCase,Best Case,25,0,,15,2024-01-23,34,2024-02-22,30,2024-07-03,2024-03-23,2024-07-08,5658,2021,ささやき,JPY,25,2024-08-03,2024-06-21,0,0,,,2,65
0,5,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Won,,30,,25,2024-06-10,Existing Customer - Expansion,Partner,,1,Omitted,Omitted,10,0,,194,2024-03-20,58,2024-07-11,114,2024-04-09,2024-02-07,2024-04-14,3824,1975,尿,JPY,26,2024-03-13,2024-04-21,1,0,,,4,66
0,5,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,50,,20,2024-01-11,Existing Customer - Upgrade,Web,,1,Closed,Closed,24,1,,165,2024-07-17,85,2024-02-19,249,2024-01-24,2024-06-08,2024-07-21,9702,2012,人形,JPY,26,2024-01-23,2024-03-11,0,0,,,2,67
0,5,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,10,,25,2024-07-04,Existing Customer - Upgrade,Referral,,1,BestCase,Best Case,13,0,,100,2024-06-25,157,2024-04-02,239,2024-02-19,2024-06-25,2024-01-30,4693,2002,コンペ,JPY,26,2024-02-02,2024-07-24,0,0,,,2,68
0,5,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,30,,45,2024-04-19,Existing Customer - Upgrade,Web,,1,Omitted,Omitted,4,0,,124,2024-07-19,190,2024-04-21,86,2024-04-17,2024-04-17,2024-05-22,4194,1971,転倒,JPY,26,2024-05-28,2024-03-09,0,0,,,7,69
0,5,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Qualification,,0,,5,2024-06-22,New Customer,Email,,1,Omitted,Omitted,28,0,,172,2024-07-01,107,2024-03-04,156,2024-02-09,2024-08-03,2024-07-03,5060,2003,それ,JPY,27,2024-05-25,2024-03-02,1,1,,,1,70
0,5,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Needs Analysis,,40,,10,2024-07-30,Existing Customer - Upgrade,Phone,,1,Closed,Closed,9,0,,257,2024-06-15,194,2024-01-20,206,2024-03-12,2024-03-17,2024-02-23,4179,1990,カレッジ,JPY,27,2024-05-07,2024-04-18,1,1,,,1,71
0,5,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Qualification,,80,,10,2024-08-06,Existing Customer - Expansion,Partner,,1,Closed,Closed,19,1,,139,2024-07-24,47,2024-01-13,251,2024-06-08,2024-06-16,2024-01-27,5651,2023,バーゲン,JPY,27,2024-05-22,2024-06-08,1,0,,,2,72
0,5,,,,0,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Proposal/Price Quote,,0,,10,2024-03-12,Existing Customer - Expansion,Referral,,1,BestCase,Best Case,8,1,,106,2024-03-10,165,2024-03-09,107,2024-07-15,2024-02-12,2024-06-22,2329,1972,インチ,JPY,28,2024-02-12,2024-05-17,0,0,,,1,73
0,5,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Perception Analysis,,100,,10,2024-05-17,Existing Customer - Upgrade,Phone,,1,Omitted,Omitted,10,0,,204,2024-01-29,241,2024-05-25,92,2024-06-06,2024-07-01,2024-01-25,7193,2018,ハンマー,JPY,28,2024-06-08,2024-01-20,0,0,,,2,74
0,5,,,,1,The None Opportunity by  acquired through the 法人向けタブレットソリューション campaign.,,Closed Lost,,100,,5,2024-05-02,New Customer,Email,,1,Commit,Commit,7,0,,188,2024-04-27,81,2024-05-15,247,2024-07-18,2024-03-17,2024-03-24,4893,1997,今,JPY,28,2024-06-03,2024-04-10,0,1,,,1,75
